vote_id,selected_tweet_id_str,voted_at,matchup_id
32850,1516425582954917891,2023-12-30 13:13:25.423952,ed97706b-8764-469c-8bef-649147cb202f
32851,684513321920413696,2023-12-30 13:13:33.740331,dffa4187-8722-44b9-a47c-498f447b0e36
32852,1185958737875390464,2023-12-30 13:13:55.135107,e280e933-0adc-4d96-a2c9-38961dfd703a
32853,921024621616549888,2023-12-30 13:14:04.120711,faa0656b-7339-4158-8bb8-dcd6e530b210
32854,753482686648295424,2023-12-30 13:14:49.895097,b711ef6c-415d-4611-b6c6-4e2936dd8a63
32855,1655567526347063298,2023-12-30 13:15:21.351999,f355daf1-1353-4028-92ee-4f20c790531f
32856,788918264512466944,2023-12-30 13:15:32.334799,b53af203-cfe0-4ae6-afd1-c9a2c9d389f8
32857,1022631905089466369,2023-12-30 13:15:45.165309,97f781ca-6739-4d1a-8ee1-3f9eab9a15d5
32858,938483705747664896,2023-12-30 13:15:58.353694,0faeb086-c15a-4e82-ada1-cff4c7e6c8a8
32859,1469340569587568645,2023-12-30 13:16:07.540836,08ac08cc-2c0b-4a8f-b9bc-ac3a911ddba8
32860,248065287541366784,2023-12-30 13:16:16.594996,cd81002f-ee53-4c26-a596-dd592340cb43
32861,855265438569304064,2023-12-30 13:16:41.661988,0a767c4e-59b7-4b53-acc2-43c1a4127980
32862,901071559015661568,2023-12-30 13:16:41.941026,5fd6a162-ff32-4458-9c07-493f8caeac7f
32863,902377872060555264,2023-12-30 13:16:54.426753,714bb585-42ad-44f8-92fc-1f35e0e027f5
32864,722565868719177729,2023-12-30 13:30:43.809781,b6e41bf9-8c92-4070-981e-f57a99d6958e
32865,1362131254385266688,2023-12-30 13:30:52.163559,264f7de1-5684-4f91-87dd-eabfcab9b411
32866,1266007690985312256,2023-12-30 13:31:25.17444,b78d9ce8-1d35-4296-8e7b-9c33d8aee9c3
32867,622124738744348672,2023-12-30 13:31:33.870315,19a4f577-ea7e-4421-b4b8-d3ceb86d5ec4
32868,850103130486439938,2023-12-30 13:31:39.899707,53b856bf-c0cd-4657-80d8-114635b95fcf
32869,978667487536566273,2023-12-30 13:31:49.815602,422d7138-5b6f-4dc9-a3fc-a56d2245a704
32870,1330497605428711425,2023-12-30 13:32:04.878577,621a39a8-36d1-4032-ac95-56166d27a09b
32871,1020390339235012608,2023-12-30 13:32:21.491295,f364f4c0-cdec-489e-8b0f-3f3b68a4815f
32872,611755620534870016,2023-12-30 13:53:24.571637,54e5163b-bb64-4a14-8aab-de8a05a88962
32873,1044044609536630784,2023-12-30 13:53:40.778833,365dc093-1ac3-465d-918f-5c8a13c0380a
32874,1607054472945205250,2023-12-30 13:54:12.671864,8b857148-b217-4f7b-9967-873b4c5b8339
32875,1191406812853129217,2023-12-30 13:54:56.389554,9ec49bb2-2f99-4747-914a-503337fc2c70
32876,1033699646676328450,2023-12-30 13:55:17.532092,bb46c443-96d6-491e-a170-ac5275014682
32877,1489766391225933826,2023-12-30 13:55:44.985453,d31c3ffd-5f4a-4ae3-97ea-74a6445576ff
32878,1592580455899201541,2023-12-30 13:55:50.403317,4b121df2-68cd-4a69-aa06-10cc7a7af6a1
32879,999788723700191232,2023-12-30 13:56:38.459464,fad568ae-ebb7-4966-af19-c3779cbcf405
32880,1060388732350726145,2023-12-30 13:56:44.174174,0525ed56-c7ff-42c5-a6f3-3cc6e8139b56
32881,1165659110013976577,2023-12-30 14:46:02.575706,db616b61-218c-48ad-973d-e613402029e8
32882,1489766391225933826,2023-12-30 14:46:09.33405,2bbd0421-1ba4-413e-82ab-5bd331d882ca
32883,1354562663053991947,2023-12-30 14:46:31.394726,dfd814b8-7e6e-417b-a02b-bcc2e4cf92aa
32884,977388392672620545,2023-12-30 14:46:45.298858,319c6483-8869-4d40-9522-1148d12a730b
32885,1072675636790083584,2023-12-30 14:47:29.607814,fad3eedc-14de-4e99-95b0-44831bfdae1c
32886,1478129385307729920,2023-12-30 14:47:53.202135,5faffee6-b9d3-4b63-977e-7a7ba8ffb260
32887,545789616738287616,2023-12-30 14:48:07.103445,93e521f9-ba3d-46a2-ad62-13aa26f14909
32888,773768496924635136,2023-12-30 14:48:15.597159,e8faad91-605d-47b6-8db4-56d52d482ffe
32889,1031646577503424512,2023-12-30 14:48:54.219506,3af06beb-d907-4570-9223-0e699f0b3c6c
32890,831586851127455749,2023-12-30 14:49:07.24929,bd1840ca-c5ce-4be0-ae27-667feb359e16
32891,1197634950536794112,2023-12-30 14:49:24.492057,0f14ff74-2a07-4de4-b130-100a252cdeb5
32892,1086733210233569280,2023-12-30 14:49:39.00491,d084e6f4-2d05-4aa8-a5b2-f285207af402
32893,1499500654133452803,2023-12-30 14:49:45.205978,694926a0-c9a8-4bf1-878f-7795c629aa54
